Dataset,Id,Context,Comment,Target
Davidson,0,,!!! RT @mayasolovely: 여성으로서 집 청소에 대해 불평해서는 안 됩니다. & 남자로서 당신은 항상 쓰레기를 버려야합니다 ...,0
Davidson,1,,!!!!! RT @mleew17: 춥다... tyga down for cuffin 저 괭이 1위!!,1
Davidson,2,,!!!!!! RT @UrKindOfBrand 도그!!!! RT @80sbaby4life: 암캐랑 섹스하고 울기 시작한 적 있어? 당신은 똥처럼 혼란스러워,1
Davidson,3,,!!!!!!!!! RT @C_G_Anderson: @viva_based 그녀는 성전환자처럼 보입니다.,1
Davidson,4,,!!!!!!!!!!!!! RT @ShenikaRoberts: 당신이 나에 대해 들은 헛소리는 사실일 수도 있고 나에게 말한 년보다 가짜일 수도 있습니다 ,1
Davidson,5,,"!!!!!!!!!!!!!!!!!!!""@T_Madison_x: 정말 끔찍하네요..당신이 누군가를 위해 그렇게 충실하고 낙담했지만 여전히 년들과 섹스하고 있다고 주장합니다! &#128514;&#128514 ;&#128514;""",1
Davidson,6,,"!!!!!!""@__BrighterDays: 그냥 앉아서 다른 여자를 싫어할 수는 없습니다. .. 너무 많은 일이 벌어지고 있어요!""",1
Davidson,7,,!!!!“@selfiequeenbri: 마른 여자애들이 우리한테 오는 큰 년들 피곤하니까!!”,1
Davidson,8,,""" & 당신은 당신의 여자를 다시 얻을 수 없습니다 그리고 그게 다야 """,1
Davidson,9,,""" @rhythmixx_ :취미 포함: Mariam과의 싸움""

암캐",1
Davidson,10,,"""Keeks는 그녀가 모든 사람을 구부리는 암캐입니다"" lol 나는 이런 대화에 들어갔다. 으음",1
Davidson,11,,""" Murda Gang 나쁜년은 Gang Land """,1
Davidson,12,,"""그래서 담배피는 년들은 패자야?"" 네... IG에 가세요",1
Davidson,13,,"""나쁜 년들이 내가 좋아하는 유일한 것""",1
Davidson,14,,"""새끼야 나한테서 일어나""",1
Davidson,15,,"""개년아, 그걸로 날 그리워해""",1
Davidson,16,,"""개년아 제발 뭐든지""",1
Davidson,17,,"""누구를 사랑하니?""",1
Davidson,18,,""" 년들은 매일 잘려요 B """,1
Davidson,19,,"""검은병과 나쁜년""",1
Davidson,20,,""" 망할 년은 나에게 아무 말도 할 수 없다 """,1
Davidson,21,,"""Nino처럼 그년을 취소해""",1
Davidson,22,,"""이 년들이 변하지 않는 걸 볼 수 있니?""",1
Davidson,23,,"""아니 그 새끼는 거시기도 빨지 마"" &#128514;&#128514;&#128514; Kermit 비디오 한판 승부 IG 최대",1
Davidson,24,,""" 내 단단한 나무 바닥에 니 년이 팁을 줬어 "" &#128514; http://t.co/cOU2WQ5L4q",1
