Dataset,Id,Context,Comment,Target,abuse
AbuseEval,86426,,@USER 그녀는 몇 명의 아메리카 원주민에게 이에 대해 어떻게 생각하는지 물어봐야 합니다.,0,NOTABU
AbuseEval,90194,,@USER @USER 취해서 집에가!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,0,NOTABU
AbuseEval,16820,,아마존은 경쟁 시장에서 우위를 노리는 제3자 판매자에게 내부 데이터를 판매하는 중국 직원을 조사하고 있습니다. URL #Amazon #MAGA #KAG #CHINA #TCOT,0,NOTABU
AbuseEval,62688,,"@USER 누군가가 ""이 똥을 화산으로 가져갔어야 했어요. 😂""",0,NOTABU
AbuseEval,43605,,@USER @USER 오바마는 자유주의자들과 불법자들이 적색주로 이동하기를 원했습니다.,0,NOTABU
AbuseEval,97670,,@USER 리버럴은 다 쿠쿠!!!,1,EXP
AbuseEval,77444,,"@USER @USER 오, 안돼! 힘든 젠장.",0,NOTABU
AbuseEval,52415,,@USER님은 말 그대로 이것에 대해 이야기하고 계셨습니다 ㅋㅋ 그런 모든 대량 총격 사건이 설정되었습니다. 총기 규제 및 테러리즘과 같은 주요 문제에 대해 우리를 분열시키는 데 사용되는 선전입니다.,1,IMP
AbuseEval,45157,,@USER 아이스크림 더 사세요!!!,0,NOTABU
AbuseEval,13384,,@USER Canada는 다른 CUCK이 필요하지 않습니다! 우리는 이미 우리의 위대한 나라를 망칠 #LooneyLeft #자유당이 충분합니다! #Q프루프 #TrudeauMustGo,1,EXP
AbuseEval,82776,,@USER @USER @USER 총기 규제를 지지하는 건 내 잘못이 아니야,0,NOTABU
AbuseEval,42992,,@USER #Kavanaugh와 @USER의 차이점은 무엇입니까 이 남자 중 한 명은 몇 년 전에 15세 소녀를 더듬었다고 시인했습니다. 다른 하나는 SCJ에 #confirmed 될 것입니다 #DemsareFrauds #DemsAreDone #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,0,NOTABU
AbuseEval,28414,,@USER 당신은 거짓말하는 부패한 배신자입니다!!! 아무도 당신의 거짓말을 더 이상 듣고 싶어하지 않습니다!!! #DeepStateCorruption URL,1,EXP
AbuseEval,54920,,@USER @USER @USER 모든 미국인을 놀라게 해야 합니다! 그녀는 뒤틀린 퍽으로 하키를 하고 있습니다!,0,NOTABU
AbuseEval,56392,,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER 나는 ICE가 많은 하숙인을 좋아하는 것처럼 탄산음료를 좋아합니다.,0,NOTABU
